character,experiment
如,LR
此,LR
动,LR
叶,LR
玩,LR
灯,LR
鸡,LR
核,LR
助,LR
戏,LR
确,LR
横,LR
鲜,LR
鞋,LR
精,LR
帖,LR
劝,LR
鸣,LR
鸭,LR
勒,LR
联,LR
劫,LR
帕,LR
蝉,LR
盼,LR
咳,LR
烛,LR
虹,LR
叙,LR
坝,LR
斌,LR
睹,LR
奴,LR
轩,LR
朕,LR
勋,LR
梯,LR
鸽,LR
靖,LR
睛,LR
黏,LR
蚌,LR
鸵,LR
驭,LR
妃,LR
町,LR
肛,LR
呷,LR
劾,LR
弭,LR
贿,LR
鱽,LR
婵,LR
皑,LR
粕,LR
舶,LR
鲇,LR
龃,LR
龊,LR
黠,LR
叫,LR
眼,LR
脸,LR
喝,LR
阴,LR
阳,LR
队,LR
须,LR
旧,LR
形,LR
邓,LR
引,LR
配,LR
隔,LR
邵,LR
郑,LR
阵,LR
检,LR
彭,LR
劲,LR
限,LR
邪,LR
枕,LR
叔,LR
耕,LR
培,LR
赔,LR
耶,LR
竭,LR
险,LR
勤,LR
蝎,LR
杉,LR
酣,LR
啄,LR
勃,LR
娟,LR
彬,LR
脖,LR
彤,LR
艰,LR
胫,LR
豚,LR
喁,LR
槿,LR
邢,LR
妉,LR
弪,LR
鸩,LR
鹝,LR
耽,LR
哱,LR
酖,LR
琣,LR
鹃,LR
焙,LR
睑,LR
朅,LR
羯,LR
瑾,LR
耸,TB
垄,TB
岂,TB
暑,TB
贡,TB
晋,TB
忌,TB
裂,TB
皇,TB
墨,TB
袋,TB
念,TB
类,TB
星,TB
聂,TB
岳,TB
秃,TB
柴,TB
轰,TB
崩,TB
昏,TB
督,TB
辈,TB
香,TB
志,TB
显,TB
圣,TB
最,TB
垦,TB
泵,TB
恳,TB
翁,TB
呈,TB
岩,TB
壁,TB
晨,TB
李,TB
奋,TB
季,TB
架,TB
奇,TB
思,TB
冒,TB
汞,TB
奢,TB
昆,TB
贷,TB
泉,TB
柔,TB
贺,TB
怒,TB
袭,TB
货,TB
资,TB
忘,TB
员,TB
丞,TB
莆,TB
宕,TB
茎,TB
宛,TB
巢,TB
煎,TB
宠,TB
芬,TB
寓,TB
异,TB
莱,TB
罪,TB
完,TB
豢,TB
茁,TB
冗,TB
茧,TB
宋,TB
苗,TB
筑,TB
芭,TB
熊,TB
哭,TB
苦,TB
杰,TB
字,TB
点,TB
苫,TB
卉,TB
苣,TB
苑,TB
馨,TB
芯,TB
骂,TB
宜,TB
宇,TB
雪,TB
杂,TB
客,TB
节,TB
家,TB
芷,TB
骛,TB
笃,TB
芋,TB
茉,TB
芒,TB
煮,TB
宙,TB
荡,TB
牢,TB
寻,TB
笑,TB
英,TB
它,TB
