Num,Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD,Pinyin,Pinyin (no tone),tone,initial,final,IDS,lvl1_structure,components
1,一,604056,12895.86,5.7811,6240,99.95,3.7952,yī,yi,1,y,i,一,S,一
2,乙,218,4.65,2.3385,130,2.08,2.1139,yǐ,yi,3,y,i,乙,S,乙
3,二,16814,358.96,4.2257,4904,78.55,3.6906,èr,er,4,,er,⿱一一,⿱,⿱一一
4,十,14731,314.49,4.1682,4176,66.89,3.6208,shí,shi,2,sh,i,十,S,十
5,丁,3640,77.71,3.5611,1389,22.25,3.1427,dīng,ding,1,d,ing,⿱一亅,⿱,⿱一亅
6,厂,2077,44.34,3.3174,926,14.83,2.9666,chǎng,chang,3,ch,ang,厂,S,厂
7,七,4094,87.4,3.6121,2179,34.9,3.3383,qī,qi,1,q,i,⿻㇀乚,⿻,⿻㇀乚
8,卜,662,14.13,2.8209,341,5.46,2.5328,bo,bo,0,b,o,卜,S,卜
9,八,6222,132.83,3.7939,2982,47.77,3.4745,bā,ba,1,b,a,八,S,八
10,人,373292,7969.33,5.572,6240,99.95,3.7952,rén,ren,2,r,en,人,S,人
11,入,24269,518.11,4.3851,5410,86.66,3.7332,rù,ru,4,r,u,入,S,入
12,儿,105402,2250.2,5.0228,6066,97.16,3.7829,ér,er,2,,er,⿰丿乚,⿰,⿰丿乚
13,匕,131,2.8,2.1173,82,1.31,1.9138,bǐ,bi,3,b,i,⿺乚丿,⿺,⿺乚丿
14,几,29152,622.36,4.4647,5850,93.7,3.7672,jǐ,ji,3,j,i,几,S,几
15,九,2654,56.66,3.4239,1502,24.06,3.1767,jiǔ,jiu,3,j,iu,九,S,九
16,刁,77,1.64,1.8865,65,1.04,1.8129,diāo,diao,1,d,iao,⿹𠃌㇀,⿹,⿹𠃌㇀
17,了,993990,21220.47,5.9974,6243,100,3.7954,le,le,0,l,e,⿱乛亅,⿱,⿱乛亅
18,刀,4999,106.72,3.6989,1946,31.17,3.2891,dāo,dao,1,d,ao,⿹𠃌丿,⿹,⿹𠃌丿
19,力,44859,957.68,4.6518,6009,96.25,3.7788,lì,li,4,l,i,⿻丿𠃌,⿻,⿻丿𠃌
20,乃,566,12.08,2.7528,209,3.35,2.3201,nǎi,nai,3,n,ai,⿹𠄎丿,⿹,⿹𠄎丿
21,又,35669,761.49,4.5523,6001,96.12,3.7782,yòu,you,4,y,ou,又,S,又
22,三,26275,560.94,4.4195,5491,87.95,3.7397,sān,san,1,s,an,⿱一二,⿱,⿱一二
23,干,60971,1301.66,4.7851,6156,98.61,3.7893,gàn,gan,4,g,an,干,S,干
24,于,45429,969.85,4.6573,6064,97.13,3.7828,yú,yu,2,y,u,于,S,于
25,亏,897,19.15,2.9528,758,12.14,2.8797,kuī,kui,1,k,ui,⿱一丂,⿱,⿱一丂
26,工,44548,951.05,4.6488,5692,91.17,3.7553,gōng,gong,1,g,ong,工,S,工
27,土,4871,103.99,3.6876,2067,33.11,3.3153,tǔ,tu,3,t,u,⿱十一,⿱,⿱十一
28,士,31972,682.56,4.5048,5218,83.58,3.7175,shì,shi,4,sh,i,⿱十一,⿱,⿱十一
29,才,46044,982.98,4.6632,6153,98.56,3.7891,cái,cai,2,c,ai,才,S,才
30,下,153565,3278.42,5.1863,6239,99.94,3.7951,xià,xia,4,x,ia,⿱一卜,⿱,⿱一卜
31,寸,1462,31.21,3.1649,993,15.91,2.9969,cùn,cun,4,c,un,寸,S,寸
32,大,135159,2885.48,5.1308,6237,99.9,3.795,dà,da,4,d,a,⿻一人,⿻,⿻一人
33,丈,6238,133.17,3.795,2281,36.54,3.3581,zhàng,zhang,4,zh,ang,丈,S,丈
34,与,17262,368.52,4.2371,4799,76.87,3.6812,yǔ,yu,3,y,u,⿹②一,⿹,⿹②一
35,万,18335,391.43,4.2633,4628,74.13,3.6654,wàn,wan,4,w,an,⿱一⿰丿𠃌,⿱,⿱一⿰丿𠃌
36,上,236451,5047.94,5.3737,6240,99.95,3.7952,shàng,shang,4,sh,ang,⿱⺊一,⿱,⿱⺊一
37,小,99468,2123.52,4.9977,6229,99.78,3.7944,xiǎo,xiao,3,x,iao,小,S,小
38,口,21385,456.54,4.3301,5406,86.59,3.7329,kǒu,kou,3,k,ou,口,S,口
39,山,8779,187.42,3.9434,2648,42.42,3.4229,shān,shan,1,sh,an,山,S,山
40,巾,1435,30.64,3.1569,875,14.02,2.942,jīn,jin,1,j,in,巾,S,巾
41,千,7954,169.81,3.9006,3234,51.8,3.5097,qiān,qian,1,q,ian,⿱丿十,⿱,⿱丿十
42,乞,436,9.31,2.6395,296,4.74,2.4713,qǐ,qi,3,q,i,⿱𠂉乙,⿱,⿱𠂉乙
43,川,777,16.59,2.8904,215,3.44,2.3324,chuān,chuan,1,ch,uan,川,S,川
44,亿,1521,32.47,3.1821,715,11.45,2.8543,yì,yi,4,y,i,⿰亻乙,⿰,⿰亻乙
45,个,452923,9669.35,5.656,6242,99.98,3.7953,gè,ge,4,g,e,⿱人丨,⿱,⿱人丨
46,夕,474,10.12,2.6758,335,5.37,2.525,xī,xi,1,x,i,⿴𠂊丶,⿴,⿴𠂊丶
47,久,15073,321.79,4.1782,5007,80.2,3.6996,jiǔ,jiu,3,j,iu,久,S,久
48,么,557804,11908.43,5.7465,6227,99.74,3.7943,me,me,0,m,e,⿱丿厶,⿱,⿱丿厶
49,勺,344,7.34,2.5366,252,4.04,2.4014,sháo,shao,2,sh,ao,⿹勹丶,⿹,⿹勹丶
50,凡,1875,40.03,3.273,1077,17.25,3.0322,fán,fan,2,f,an,⿵几丶,⿵,⿵几丶
51,丸,771,16.46,2.8871,416,6.66,2.6191,wán,wan,2,w,an,⿻九丶,⿻,⿻九丶
52,及,9979,213.04,3.9991,4072,65.23,3.6098,jí,ji,2,j,i,及,S,及
53,广,4896,104.52,3.6898,2021,32.37,3.3056,guǎng,guang,3,g,uang,广,S,广
54,亡,6086,129.93,3.7843,2549,40.83,3.4064,wáng,wang,2,w,ang,⿱亠𠃊,⿱,⿱亠𠃊
55,门,25908,553.1,4.4134,5498,88.07,3.7402,mén,men,2,m,en,门,S,门
56,丫,507,10.82,2.705,327,5.24,2.5145,yā,ya,1,y,a,⿱丷丨,⿱,⿱丷丨
57,义,9488,202.56,3.9772,3864,61.89,3.587,yì,yi,4,y,i,⿶乂丶,⿶,⿶乂丶
58,之,64755,1382.44,4.8113,6164,98.73,3.7899,zhī,zhi,1,zh,i,⿱丶②,⿱,⿱丶②
59,尸,7786,166.22,3.8913,2176,34.86,3.3377,shī,shi,1,sh,i,尸,S,尸
60,己,58674,1252.62,4.7684,6163,98.72,3.7898,jǐ,ji,3,j,i,己,S,己
61,已,65079,1389.36,4.8134,6184,99.05,3.7913,yǐ,yi,3,y,i,已,S,已
62,巳,17,0.36,1.2304,8,0.13,0.9031,sì,si,4,s,i,巳,S,巳
63,弓,351,7.49,2.5453,191,3.06,2.281,gōng,gong,1,g,ong,弓,S,弓
64,子,177693,3793.53,5.2497,6239,99.94,3.7951,zǐ,zi,3,z,i,子,S,子
65,卫,7327,156.42,3.8649,2498,40.01,3.3976,wèi,wei,4,w,ei,⿱⿱𠃌丨一,⿱,⿱⿱𠃌丨一
66,也,159926,3414.22,5.2039,6238,99.92,3.795,yě,ye,3,y,e,也,S,也
67,女,76693,1637.3,4.8848,6088,97.52,3.7845,nǚ,nü,3,n,ü,女,S,女
68,刃,265,5.66,2.4232,195,3.12,2.29,rèn,ren,4,r,en,⿹刀丿,⿹,⿹刀丿
69,飞,15717,335.54,4.1964,3552,56.9,3.5505,fēi,fei,1,f,ei,飞,S,飞
70,习,8048,171.81,3.9057,3405,54.54,3.5321,xí,xi,2,x,i,⿹𠃌冫,⿹,⿹𠃌冫
71,叉,906,19.34,2.9571,669,10.72,2.8254,chā,cha,1,ch,a,⿴又丶,⿴,⿴又丶
72,马,34892,744.9,4.5427,5560,89.06,3.7451,mǎ,ma,3,m,a,⿹②一,⿹,⿹②一
73,乡,2509,53.56,3.3995,1305,20.9,3.1156,xiāng,xiang,1,x,iang,乡,S,乡
74,丰,1278,27.28,3.1065,908,14.54,2.9581,fēng,feng,1,f,eng,⿻三丨,⿻,⿻三丨
75,王,9733,207.79,3.9882,2338,37.45,3.3688,wáng,wang,2,w,ang,⿱一土,⿱,⿱一土
76,开,126802,2707.07,5.1031,6242,99.98,3.7953,kāi,kai,1,k,ai,⿱一廾,⿱,⿱一廾
77,井,1114,23.78,3.0469,435,6.97,2.6385,jǐng,jing,3,j,ing,井,S,井
78,天,127053,2712.43,5.104,6234,99.86,3.7948,tiān,tian,1,t,ian,⿱一大,⿱,⿱一大
79,夫,23767,507.4,4.376,4537,72.67,3.6568,fū,fu,1,f,u,⿻二人,⿻,⿻二人
80,元,8765,187.12,3.9428,2746,43.99,3.4387,yuán,yuan,2,y,uan,⿱一兀,⿱,⿱一兀
81,无,50908,1086.82,4.7068,6122,98.06,3.7869,wú,wu,2,w,u,⿱一尢,⿱,⿱一尢
82,云,1609,34.35,3.2066,901,14.43,2.9547,yún,yun,2,y,un,⿱二厶,⿱,⿱二厶
83,专,7712,164.64,3.8872,3526,56.48,3.5473,zhuān,zhuan,1,zh,uan,专,S,专
84,丐,133,2.84,2.1239,89,1.43,1.9494,gài,gai,4,g,ai,丐,S,丐
85,扎,2561,54.67,3.4084,1275,20.42,3.1055,zhā,zha,1,zh,a,⿰扌乚,⿰,⿰扌乚
86,艺,4389,93.7,3.6424,1868,29.92,3.2714,yì,yi,4,y,i,⿱艹乙,⿱,⿱艹乙
87,木,4924,105.12,3.6923,1858,29.76,3.269,mù,mu,4,m,u,木,S,木
88,五,12246,261.44,4.088,3931,62.97,3.5945,wǔ,wu,3,w,u,⿱一𫝀,⿱,⿱一𫝀
89,支,11697,249.72,4.0681,3983,63.8,3.6002,zhī,zhi,1,zh,i,⿱十又,⿱,⿱十又
90,厅,3620,77.28,3.5587,1919,30.74,3.2831,tīng,ting,1,t,ing,⿸厂丁,⿸,⿸厂丁
91,不,904675,19313.7,5.9565,6243,100,3.7954,bú,bu,2,b,u,⿱一③,⿱,⿱一③
92,犬,1055,22.52,3.0233,526,8.43,2.721,quǎn,quan,3,q,uan,犬,S,犬
93,太,80890,1726.9,4.9079,6200,99.31,3.7924,tài,tai,4,t,ai,⿵大丶,⿵,⿵大丶
94,区,11770,251.28,4.0708,3924,62.85,3.5937,qū,qu,1,q,u,⿷匚㐅,⿷,⿷匚㐅
95,历,8856,189.06,3.9472,3580,57.34,3.5539,lì,li,4,l,i,⿸厂力,⿸,⿸厂力
96,歹,286,6.11,2.4564,230,3.68,2.3617,dǎi,dai,3,d,ai,⿱一夕,⿱,⿱一夕
97,友,40149,857.13,4.6037,5845,93.62,3.7668,yǒu,you,3,y,ou,⿸𠂇又,⿸,⿸𠂇又
98,尤,2679,57.19,3.428,1397,22.38,3.1452,yóu,you,2,y,ou,⿺尢丶,⿺,⿺尢丶
99,匹,2240,47.82,3.3502,1125,18.02,3.0512,pǐ,pi,3,p,i,⿷匚儿,⿷,⿷匚儿
100,车,55587,1186.71,4.745,5469,87.6,3.7379,chē,che,1,ch,e,车,S,车
101,巨,3124,66.69,3.4947,1754,28.1,3.244,jù,ju,4,j,u,巨,S,巨
102,牙,6365,135.88,3.8038,2412,38.64,3.3824,yá,ya,2,y,a,牙,S,牙
103,屯,17,0.36,1.2304,11,0.18,1.0414,tún,tun,2,t,un,⿻丿𡳾,⿻,⿻丿𡳾
104,戈,1792,38.26,3.2533,464,7.43,2.6665,gē,ge,1,g,e,⿻弋丿,⿻,⿻弋丿
105,比,51838,1106.68,4.7146,6051,96.92,3.7818,bǐ,bi,3,b,i,比,S,比
106,互,3335,71.2,3.5231,2059,32.98,3.3137,hù,hu,4,h,u,⿱一彑,⿱,⿱一彑
107,切,28202,602.08,4.4503,5640,90.34,3.7513,qiē,qie,1,q,ie,⿰七刀,⿰,⿰七刀
108,瓦,3721,79.44,3.5707,982,15.73,2.9921,wǎ,wa,3,w,a,瓦,S,瓦
109,止,14732,314.51,4.1683,4866,77.94,3.6872,zhǐ,zhi,3,zh,i,止,S,止
110,少,28266,603.44,4.4513,5879,94.17,3.7693,shǎo,shao,3,sh,ao,⿱小丿,⿱,⿱小丿
111,曰,25,0.53,1.3979,19,0.3,1.2788,yuē,yue,1,y,ue,曰,S,曰
112,日,23151,494.25,4.3646,5161,82.67,3.7127,rì,ri,4,r,i,日,S,日
113,中,69745,1488.97,4.8435,6167,98.78,3.7901,zhōng,zhong,1,zh,ong,⿻口丨,⿻,⿻口丨
114,贝,17592,375.57,4.2453,3956,63.37,3.5973,bèi,bei,4,b,ei,贝,S,贝
115,冈,526,11.23,2.721,216,3.46,2.3345,gāng,gang,1,g,ang,⿵冂㐅,⿵,⿵冂㐅
116,内,19071,407.14,4.2804,5049,80.87,3.7032,nèi,nei,4,n,ei,⿻冂人,⿻,⿻冂人
117,水,21793,465.25,4.3383,5083,81.42,3.7061,shuǐ,shui,3,sh,ui,⿲㇇亅⿺乀丿,⿲,⿲㇇亅⿺乀丿
118,见,85723,1830.08,4.9331,6220,99.63,3.7938,jiàn,jian,4,j,ian,见,S,见
119,午,8167,174.36,3.9121,3507,56.17,3.5449,wǔ,wu,3,w,u,⿱𠂉十,⿱,⿱𠂉十
120,牛,7043,150.36,3.8478,2611,41.82,3.4168,niú,niu,2,n,iu,牛,S,牛
121,手,75608,1614.14,4.8786,6186,99.09,3.7914,shǒu,shou,3,sh,ou,手,S,手
122,气,28334,604.9,4.4523,5724,91.69,3.7577,qì,qi,4,q,i,⿳𠂉一乁,⿳,⿳𠂉一乁
123,毛,6487,138.49,3.812,2867,45.92,3.4574,máo,mao,2,m,ao,⿱丿⿻二乚,⿱,⿱丿⿻二乚
124,壬,14,0.3,1.1461,6,0.1,0.7782,rén,ren,2,r,en,⿱丿士,⿱,⿱丿士
125,升,4362,93.12,3.6397,2162,34.63,3.3349,shēng,sheng,1,sh,eng,⿱丿廾,⿱,⿱丿廾
126,夭,138,2.95,2.1399,75,1.2,1.8751,yāo,yao,1,y,ao,⿱丿大,⿱,⿱丿大
127,长,42596,909.37,4.6294,5903,94.55,3.7711,zhǎng,zhang,3,zh,ang,长,S,长
128,仁,1306,27.88,3.1159,728,11.66,2.8621,rén,ren,2,r,en,⿰亻二,⿰,⿰亻二
129,什,307184,6558,5.4874,6239,99.94,3.7951,shí,shi,2,sh,i,⿰亻十,⿰,⿰亻十
130,片,21431,457.53,4.331,4899,78.47,3.6901,piàn,pian,4,p,ian,片,S,片
131,仆,814,17.38,2.9106,426,6.82,2.6294,pú,pu,2,p,u,⿰亻卜,⿰,⿰亻卜
132,化,11248,240.13,4.0511,4087,65.47,3.6114,huà,hua,4,h,ua,⿰亻𠤎,⿰,⿰亻𠤎
133,仇,2085,44.51,3.3191,1149,18.4,3.0603,chóu,chou,2,ch,ou,⿰亻九,⿰,⿰亻九
134,币,1239,26.45,3.0931,587,9.4,2.7686,bì,bi,4,b,i,⿱丿巾,⿱,⿱丿巾
135,仍,5117,109.24,3.709,2687,43.04,3.4293,réng,reng,2,r,eng,⿰亻乃,⿰,⿰亻乃
136,仅,7927,169.23,3.8991,3005,48.13,3.4778,jǐn,jin,3,j,in,⿰亻又,⿰,⿰亻又
137,斤,369,7.88,2.567,226,3.62,2.3541,jīn,jin,1,j,in,⿸𠂆丅,⿸,⿸𠂆丅
138,爪,563,12.02,2.7505,346,5.54,2.5391,zhǎo,zhao,3,zh,ao,爪,S,爪
139,反,15920,339.87,4.2019,4941,79.14,3.6938,fǎn,fan,3,f,an,⿸𠂆又,⿸,⿸𠂆又
140,介,7696,164.3,3.8863,3610,57.82,3.5575,jiè,jie,4,j,ie,⿱人⿰丿丨,⿱,⿱人⿰丿丨
141,父,22065,471.06,4.3437,4318,69.17,3.6353,fù,fu,4,f,u,⿱八乂,⿱,⿱八乂
142,从,69789,1489.91,4.8438,6209,99.46,3.793,cóng,cong,2,c,ong,⿰人人,⿰,⿰人人
143,仑,412,8.8,2.6149,216,3.46,2.3345,lún,lun,2,l,un,⿱人匕,⿱,⿱人匕
144,今,44976,960.18,4.653,5996,96.04,3.7779,jīn,jin,1,j,in,⿱亽㇇,⿱,⿱亽㇇
145,凶,6967,148.74,3.843,1827,29.26,3.2617,xiōng,xiong,1,x,iong,⿶凵㐅,⿶,⿶凵㐅
146,分,48396,1033.2,4.6848,6077,97.34,3.7837,fèn,fen,4,f,en,⿱八刀,⿱,⿱八刀
147,乏,888,18.96,2.9484,682,10.92,2.8338,fá,fa,2,f,a,⿱丿之,⿱,⿱丿之
148,公,39292,838.84,4.5943,5751,92.12,3.7597,gōng,gong,1,g,ong,⿱八厶,⿱,⿱八厶
149,仓,1321,28.2,3.1209,671,10.75,2.8267,cāng,cang,1,c,ang,⿱人㔾,⿱,⿱人㔾
150,月,16675,355.99,4.2221,4632,74.2,3.6658,yuè,yue,4,y,ue,月,S,月
151,氏,893,19.06,2.9509,485,7.77,2.6857,shì,shi,4,sh,i,氏,S,氏
152,勿,287,6.13,2.4579,234,3.75,2.3692,wù,wu,4,w,u,⿹勹⿱丿丿,⿹,⿹勹⿱丿丿
153,欠,2962,63.24,3.4716,1747,27.98,3.2423,qiàn,qian,4,q,ian,欠,S,欠
154,风,13301,283.96,4.1239,4400,70.48,3.6435,fēng,feng,1,f,eng,⿵几㐅,⿵,⿵几㐅
155,丹,4890,104.4,3.6893,899,14.4,2.9538,dān,dan,1,d,an,丹,S,丹
156,匀,91,1.94,1.959,74,1.19,1.8692,yún,yun,2,y,un,⿹勹冫,⿹,⿹勹冫
157,乌,2017,43.06,3.3047,726,11.63,2.8609,wū,wu,1,w,u,⿹③一,⿹,⿹③一
158,勾,1240,26.47,3.0934,872,13.97,2.9405,gōu,gou,1,g,ou,⿹勹厶,⿹,⿹勹厶
159,凤,478,10.2,2.6794,219,3.51,2.3404,fèng,feng,4,f,eng,⿵几又,⿵,⿵几又
160,六,7439,158.81,3.8715,3167,50.73,3.5006,liù,liu,4,l,iu,⿱亠八,⿱,⿱亠八
161,文,14196,303.07,4.1522,3743,59.96,3.5732,wén,wen,2,w,en,⿱亠乂,⿱,⿱亠乂
162,亢,73,1.56,1.8633,52,0.83,1.716,kàng,kang,4,k,ang,⿱亠几,⿱,⿱亠几
163,方,52743,1126,4.7222,6142,98.38,3.7883,fāng,fang,1,f,ang,⿱亠⿰丿𠃌,⿱,⿱亠⿰丿𠃌
164,火,18479,394.5,4.2667,4630,74.16,3.6656,huǒ,huo,3,h,uo,⿱八人,⿱,⿱八人
165,为,249231,5320.78,5.3966,6241,99.97,3.7953,wéi,wei,2,w,ei,为,S,为
166,斗,6328,135.1,3.8013,2421,38.78,3.384,dòu,dou,4,d,ou,斗,S,斗
167,忆,3781,80.72,3.5776,1785,28.59,3.2516,yì,yi,4,y,i,⿰忄乙,⿰,⿰忄乙
168,计,34589,738.43,4.5389,5598,89.67,3.748,jì,ji,4,j,i,⿰讠十,⿰,⿰讠十
169,订,2705,57.75,3.4322,1532,24.54,3.1853,dìng,ding,4,d,ing,⿰讠丁,⿰,⿰讠丁
170,户,5836,124.59,3.7661,2504,40.11,3.3986,hù,hu,4,h,u,⿱丶尸,⿱,⿱丶尸
171,认,54322,1159.71,4.735,6063,97.12,3.7827,rèn,ren,4,r,en,⿰讠人,⿰,⿰讠人
172,冗,66,1.41,1.8195,56,0.9,1.7482,rǒng,rong,3,r,ong,⿱冖几,⿱,⿱冖几
173,讥,59,1.26,1.7709,48,0.77,1.6812,jī,ji,1,j,i,⿰讠几,⿰,⿰讠几
174,心,83418,1780.87,4.9213,6225,99.71,3.7941,xīn,xin,1,x,in,心,S,心
175,尺,2651,56.6,3.4234,1465,23.47,3.1658,chǐ,chi,3,ch,i,尺,S,尺
176,引,9297,198.48,3.9683,3908,62.6,3.592,yǐn,yin,3,y,in,⿰弓丨,⿰,⿰弓丨
177,丑,2948,62.94,3.4695,1595,25.55,3.2028,chǒu,chou,3,ch,ou,丑,S,丑
178,巴,14445,308.38,4.1597,3278,52.51,3.5156,bā,ba,1,b,a,巴,S,巴
179,孔,1301,27.77,3.1143,864,13.84,2.9365,kǒng,kong,3,k,ong,⿰子乚,⿰,⿰子乚
180,队,27111,578.79,4.4331,4217,67.55,3.625,duì,dui,4,d,ui,⿰阝人,⿰,⿰阝人
181,办,28706,612.84,4.458,5725,91.7,3.7578,bàn,ban,4,b,an,⿻力八,⿻,⿻力八
182,以,184508,3939.02,5.266,6238,99.92,3.795,yǐ,yi,3,y,i,以,S,以
183,允,2897,61.85,3.4619,1852,29.67,3.2676,yǔn,yun,3,y,un,⿱厶儿,⿱,⿱厶儿
